Time (s),Log
1.278027057647705,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
3.279118061065674,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
5.2798402309417725,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
7.281107664108276,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
9.28202486038208,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
11.282596588134766,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
13.28389048576355,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
15.28494143486023,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
17.285431146621704,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
19.286099910736084,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
21.287955284118652,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
23.288513660430908,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
25.28948712348938,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
27.29093360900879,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
29.291710138320923,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
31.292155504226685,Raw ADC: 895  |  ADC Voltage: 2.800 V  |  Battery Voltage: 3.677 V
